@RELATION training_BOOKKEEPER_4.2.2

@ATTRIBUTE numberRevision NUMERIC
@ATTRIBUTE locAdded NUMERIC
@ATTRIBUTE avgLocAdded NUMERIC
@ATTRIBUTE maxLocAdded NUMERIC
@ATTRIBUTE size NUMERIC
@ATTRIBUTE chgSetSize NUMERIC
@ATTRIBUTE avgChgSetSize NUMERIC
@ATTRIBUTE maxChgSetSize NUMERIC
@ATTRIBUTE authors NUMERIC
@ATTRIBUTE class {BUG,NO_BUG}

@DATA
0,0,0,0,153,0,?,0,2,NO_BUG
0,0,0,0,68,0,?,0,3,NO_BUG
0,0,0,0,100,0,?,0,3,NO_BUG
0,0,0,0,16883,0,?,0,3,NO_BUG
0,0,0,0,254,0,?,0,4,NO_BUG
0,0,0,0,47,0,?,0,2,NO_BUG
0,0,0,0,183,0,?,0,3,NO_BUG
0,0,0,0,49,0,?,0,1,NO_BUG
0,0,0,0,50,0,?,0,1,NO_BUG
0,0,0,0,98,0,?,0,2,NO_BUG
0,0,0,0,143,0,?,0,2,NO_BUG
0,0,0,0,43,0,?,0,1,NO_BUG
0,0,0,0,42,0,?,0,1,NO_BUG
0,0,0,0,56,0,?,0,2,NO_BUG
0,0,0,0,44,0,?,0,1,NO_BUG
0,0,0,0,26,0,?,0,1,NO_BUG
0,0,0,0,24,0,?,0,1,NO_BUG
0,0,0,0,50,0,?,0,1,NO_BUG
0,0,0,0,72,0,?,0,1,NO_BUG
0,0,0,0,47,0,?,0,1,NO_BUG
0,0,0,0,63,0,?,0,3,NO_BUG
0,0,0,0,72,0,?,0,1,NO_BUG
0,0,0,0,41,0,?,0,1,NO_BUG
0,0,0,0,66,0,?,0,2,NO_BUG
0,0,0,0,183,0,?,0,1,NO_BUG
0,0,0,0,70,0,?,0,1,NO_BUG
0,0,0,0,54,0,?,0,1,NO_BUG
0,0,0,0,160,0,?,0,1,NO_BUG
0,0,0,0,125,0,?,0,3,NO_BUG
0,0,0,0,151,0,?,0,4,NO_BUG
1,1,1,1,421,41,41.0,40,4,NO_BUG
1,2,2,2,219,45,45.0,44,3,NO_BUG
0,0,0,0,89,0,?,0,1,NO_BUG
0,0,0,0,50,0,?,0,1,NO_BUG
0,0,0,0,42,0,?,0,2,NO_BUG
0,0,0,0,624,0,?,0,1,NO_BUG
0,0,0,0,377,0,?,0,1,NO_BUG
0,0,0,0,383,0,?,0,1,NO_BUG
0,0,0,0,72,0,?,0,1,NO_BUG
0,0,0,0,92,0,?,0,1,NO_BUG
1,1,1,1,284,41,41.0,40,2,NO_BUG
0,0,0,0,371,0,?,0,1,NO_BUG
0,0,0,0,47,0,?,0,1,NO_BUG
0,0,0,0,108,0,?,0,1,NO_BUG
0,0,0,0,111,0,?,0,1,NO_BUG
0,0,0,0,358,0,?,0,1,NO_BUG
0,0,0,0,277,0,?,0,1,NO_BUG
0,0,0,0,49,0,?,0,1,NO_BUG
0,0,0,0,319,0,?,0,1,NO_BUG
0,0,0,0,129,0,?,0,1,NO_BUG
0,0,0,0,49,0,?,0,1,NO_BUG
0,0,0,0,156,0,?,0,1,NO_BUG
0,0,0,0,84,0,?,0,1,NO_BUG
0,0,0,0,117,0,?,0,4,NO_BUG
0,0,0,0,71,0,?,0,4,NO_BUG
0,0,0,0,94,0,?,0,3,NO_BUG
0,0,0,0,183,0,?,0,4,NO_BUG
0,0,0,0,85,0,?,0,4,NO_BUG
0,0,0,0,36,0,?,0,1,NO_BUG
0,0,0,0,37,0,?,0,1,NO_BUG
0,0,0,0,34,0,?,0,1,NO_BUG
0,0,0,0,34,0,?,0,1,NO_BUG
0,0,0,0,38,0,?,0,2,NO_BUG
0,0,0,0,39,0,?,0,2,NO_BUG
0,0,0,0,56,0,?,0,3,NO_BUG
0,0,0,0,179,0,?,0,4,NO_BUG
0,0,0,0,74,0,?,0,2,NO_BUG
0,0,0,0,171,0,?,0,3,NO_BUG
1,4,4,4,138,41,41.0,40,4,NO_BUG
1,8,8,8,142,41,41.0,40,4,NO_BUG
0,0,0,0,191,0,?,0,4,NO_BUG
0,0,0,0,46,0,?,0,2,NO_BUG
0,0,0,0,165,0,?,0,3,NO_BUG
0,0,0,0,42,0,?,0,1,NO_BUG
0,0,0,0,48,0,?,0,2,NO_BUG
0,0,0,0,89,0,?,0,3,NO_BUG
0,0,0,0,380,0,?,0,4,NO_BUG
1,3,3,3,94,45,45.0,44,2,NO_BUG
0,0,0,0,62,0,?,0,1,NO_BUG
0,0,0,0,45,0,?,0,1,NO_BUG
0,0,0,0,45,0,?,0,1,NO_BUG
0,0,0,0,168,0,?,0,2,NO_BUG
0,0,0,0,77,0,?,0,1,NO_BUG
1,9,9,9,665,45,45.0,44,2,NO_BUG
0,0,0,0,88,0,?,0,2,NO_BUG
1,4,4,4,260,45,45.0,44,5,NO_BUG
0,0,0,0,54,0,?,0,3,NO_BUG
0,0,0,0,48,0,?,0,2,NO_BUG
0,0,0,0,140,0,?,0,3,NO_BUG
0,0,0,0,152,0,?,0,1,NO_BUG
0,0,0,0,39,0,?,0,2,NO_BUG
0,0,0,0,131,0,?,0,1,NO_BUG
0,0,0,0,47,0,?,0,1,NO_BUG
0,0,0,0,129,0,?,0,4,NO_BUG
0,0,0,0,43,0,?,0,1,NO_BUG
0,0,0,0,243,0,?,0,2,NO_BUG
0,0,0,0,92,0,?,0,3,NO_BUG
0,0,0,0,174,0,?,0,2,NO_BUG
0,0,0,0,148,0,?,0,2,NO_BUG
2,8,4,6,503,43,21.5,40,2,BUG
1,3,3,3,325,2,2.0,1,3,NO_BUG
0,0,0,0,273,0,?,0,2,NO_BUG
0,0,0,0,136,0,?,0,2,NO_BUG
0,0,0,0,56,0,?,0,1,NO_BUG
0,0,0,0,74,0,?,0,2,NO_BUG
